definition,correctAnswer,option1,option2,option3,option4
진짜, 정말이라는 뜻의 신조어로, '진짜?'를 줄여서 표현한 말입니다. 인터넷에서 강조하거나 확인할 때 자주 사용됩니다.,ㄹㅇ,ㄹㅇ,ㅇㅈ,ㄱㅇㄷ,갓생
인정한다는 뜻의 신조어로, '인정'을 초성으로 줄여서 표현한 말입니다. 동의하거나 승인할 때 사용합니다.,ㅇㅈ,ㄹㅇ,ㅇㅈ,ㄱㅇㄷ,존버
개이득이라는 뜻의 신조어로, '개'와 '이득'을 합친 말입니다. 매우 유리하거나 좋은 상황을 표현할 때 사용합니다.,ㄱㅇㄷ,ㄱㅇㄷ,개웃대,갓생,킹받다
'갓'과 '인생'을 합친 신조어로, 매우 멋지고 완벽한 인생을 의미합니다. 열심히 사는 모습을 칭찬할 때 사용합니다.,갓생,갓생,존버,오운완,취존
'존나'와 '버티기'를 합친 신조어로, 힘들지만 끝까지 견디고 버티는 것을 의미합니다.,존버,존버,갓생,킹받다,오운완
'열받다'를 변형한 신조어로, 매우 화가 나거나 짜증이 날 때 사용하는 표현입니다.,킹받다,킹받다,갓생,오운완,취존
'오늘 운동 완료'를 줄인 신조어로, 운동을 마쳤을 때 사용하는 표현입니다.,오운완,오운완,갓생,존버,ㄹㅇ
'취향 존중'을 줄인 신조어로, 다른 사람의 취향이나 선택을 존중한다는 의미입니다.,취존,취존,갓생,존버,ㅇㅈ
너무 좋거나 완벽하다는 뜻의 신조어로, '개'를 강조 접두사로 사용한 표현입니다.,개꿀,개꿀,개웃대,ㄱㅇㄷ,갓생
매우 웃기다는 뜻의 신조어로, '개'와 '웃대'를 합친 표현입니다.,개웃대,개웃대,개꿀,ㄱㅇㄷ,킹받다
너무 귀엽다는 뜻의 신조어로, '개'와 '귀여움'을 합친 표현입니다.,개귀여움,개귀여움,개꿀,갓생,취존
너무 슬프다는 뜻의 신조어로, 감정을 강조하는 표현입니다.,개슬픔,개슬픔,킹받다,개웃대,ㄹㅇ
너무 예쁘다는 뜻의 신조어로, 외모나 상황을 칭찬할 때 사용합니다.,개예쁨,개예쁨,개귀여움,갓생,취존
너무 멋있다는 뜻의 신조어로, '개'와 '멋'을 합친 표현입니다.,개멋,개멋,갓생,개꿀,오운완
너무 좋다는 뜻의 신조어로, 감탄사처럼 사용하는 표현입니다.,개좋음,개좋음,개꿀,ㄱㅇㄷ,갓생
















